job_id,title,company,skills_required,category,description,location,experience_required,education_required,salary_range,salary_lpa,job_type,openings,posted_days_ago
13,Data Scientist,Flipkart,"Python, Machine Learning, TensorFlow, SQL, Statistics",Data Science,Build ML models to optimize pricing and recommendations for e-commerce.,Bangalore,3-5 years,PhD,10-18 LPA,15.2,Full-time,9,23
14,Machine Learning Engineer,Ola,"Python, Scikit-learn, Deep Learning, Spark",Data Science,Develop ML pipelines for ride demand forecasting and route optimization.,Bangalore,1-3 years,B.Tech,5-10 LPA,5.8,Full-time,9,7
15,AI Engineer,Razorpay,"Python, NLP, PyTorch, Transformers, FastAPI",Data Science,Build AI-powered fraud detection and financial intelligence models.,Bangalore,3-5 years,B.Tech,10-18 LPA,12.6,Full-time,1,25
16,Data Analyst,Swiggy,"Python, SQL, Tableau, Excel, Statistics",Data Science,Analyze delivery operations data and build actionable dashboards.,Bangalore,3-5 years,B.Tech,10-18 LPA,13.2,Full-time,10,28
17,ML Researcher,Samsung R&D,"Python, Deep Learning, Computer Vision, OpenCV",Data Science,Research and implement state-of-the-art AI algorithms for mobile devices.,Noida,3-5 years,B.Tech,10-18 LPA,12.5,Hybrid,8,4
18,NLP Engineer,Niki.ai,"Python, NLP, BERT, spaCy, Rasa",Data Science,Build conversational AI systems and intent classification models.,Bangalore,3-5 years,PhD,10-18 LPA,11.1,Remote,5,23
19,Business Intelligence Analyst,Myntra,"SQL, Power BI, Python, Excel, Tableau",Data Science,Create reports and dashboards to support business decisions.,Bangalore,3-5 years,B.Tech,10-18 LPA,17.2,Full-time,4,4
20,Data Engineer,Paytm,"Spark, Kafka, Python, Hadoop, AWS",Data Science,Build data pipelines and ETL processes for financial data.,Noida,3-5 years,B.Tech,10-18 LPA,13.9,Full-time,3,20
21,Computer Vision Engineer,Niramai,"Python, OpenCV, TensorFlow, PyTorch, CNN",Data Science,Develop medical image analysis algorithms for cancer screening.,Bangalore,1-3 years,B.Tech,5-10 LPA,9.0,Remote,2,12
22,Data Scientist,Meesho,"Python, A/B Testing, SQL, ML, Statistics",Data Science,Run experiments and build models to grow social commerce platform.,Bangalore,3-5 years,B.Tech,10-18 LPA,14.8,Remote,5,17
23,Analytics Engineer,CRED,"dbt, SQL, Airflow, Python, BigQuery",Data Science,Build and maintain analytical models for fintech product analytics.,Bangalore,1-3 years,B.Tech,5-10 LPA,8.4,Remote,5,24
24,AI/ML Engineer,Haptik,"Python, NLP, BERT, Transformers, FastAPI",Data Science,Develop conversational AI products for enterprise clients.,Mumbai,3-5 years,M.Sc.,10-18 LPA,12.7,Hybrid,3,14
25,Frontend Developer,Zomato,"React, JavaScript, CSS, HTML, TypeScript",Web Development,Build beautiful and responsive UI for food delivery platform.,Gurgaon,1-3 years,B.Sc.,5-10 LPA,9.8,Remote,3,16
26,React Developer,Naukri.com,"React, Redux, JavaScript, REST APIs, Jest",Web Development,Develop modern job portal interfaces using React ecosystem.,Noida,1-3 years,B.Sc.,5-10 LPA,9.4,Remote,10,6
27,Angular Developer,Persistent Systems,"Angular, TypeScript, RxJS, HTML, CSS",Web Development,Build enterprise web applications using Angular framework.,Pune,1-3 years,BCA,5-10 LPA,6.9,Remote,9,29
28,Vue.js Developer,Druva,"Vue.js, JavaScript, CSS3, REST APIs, Git",Web Development,Develop cloud backup management interfaces with Vue.js.,Pune,1-3 years,Self-taught,5-10 LPA,8.0,Full-time,2,29
29,UI Developer,InMobi,"HTML, CSS, JavaScript, React, Webpack",Web Development,Create pixel-perfect ad tech UI components and dashboards.,Bangalore,3-5 years,B.Sc.,10-18 LPA,17.0,Full-time,1,7
30,WordPress Developer,WPWeb Infotech,"WordPress, PHP, CSS, JavaScript, MySQL",Web Development,Develop custom WordPress themes and plugins for clients.,Ahmedabad,3-5 years,B.Tech,10-18 LPA,17.6,Hybrid,2,24
31,Web Designer,Fractal Analytics,"Figma, HTML, CSS, JavaScript, UX Design",Web Development,Design and prototype web interfaces for analytics products.,Mumbai,3-5 years,BCA,10-18 LPA,16.1,Hybrid,9,5
32,MERN Stack Developer,BrowserStack,"MongoDB, Express, React, Node.js, REST",Web Development,Build full-stack JavaScript applications for developer tools.,Mumbai,3-5 years,Self-taught,10-18 LPA,14.2,Full-time,9,24
33,Shopify Developer,Headstart,"Shopify, Liquid, JavaScript, CSS, APIs",Web Development,Customize Shopify stores and develop apps for e-commerce clients.,Remote,3-5 years,B.Sc.,10-18 LPA,15.5,Hybrid,6,14
34,PHP Developer,Nagarro,"PHP, Laravel, MySQL, REST APIs, Git",Web Development,Build web applications and APIs using PHP/Laravel stack.,Gurgaon,3-5 years,BCA,10-18 LPA,13.6,Full-time,2,10
35,Android Developer,BYJU'S,"Kotlin, Java, Android SDK, REST APIs, SQLite",Mobile Development,Build educational Android apps used by 10 million students.,Bangalore,1-3 years,B.Tech,5-10 LPA,7.9,Remote,4,0
36,iOS Developer,Cleartrip,"Swift, SwiftUI, Xcode, REST APIs, Core Data",Mobile Development,Develop travel booking iOS applications with great UX.,Mumbai,1-3 years,B.Tech,5-10 LPA,8.5,Full-time,2,28
37,Flutter Developer,PhonePe,"Flutter, Dart, Firebase, REST APIs, BLoC",Mobile Development,Build cross-platform mobile features for UPI payment app.,Bangalore,1-3 years,B.Tech,5-10 LPA,9.3,Remote,4,8
38,React Native Developer,Unacademy,"React Native, JavaScript, Redux, Firebase",Mobile Development,Build cross-platform learning apps for education platform.,Bangalore,3-5 years,MCA,10-18 LPA,13.9,Full-time,10,18
39,Mobile Engineer,Dream11,"Kotlin, Swift, REST APIs, Firebase, WebSocket",Mobile Development,Develop high-performance fantasy sports mobile applications.,Mumbai,3-5 years,BCA,10-18 LPA,11.9,Hybrid,4,3
40,DevOps Engineer,Nutanix,"AWS, Docker, Kubernetes, CI/CD, Terraform",Cloud & DevOps,Build and maintain cloud infrastructure and deployment pipelines.,Bangalore,1-3 years,M.Tech,5-10 LPA,8.3,Hybrid,7,14
41,Cloud Engineer,Rackspace,"AWS, Azure, GCP, Terraform, Linux",Cloud & DevOps,Design and implement cloud architectures for enterprise clients.,Mumbai,3-5 years,B.Sc.,10-18 LPA,10.4,Full-time,1,12
42,SRE Engineer,Atlassian,"Linux, Python, Kubernetes, Prometheus, Go",Cloud & DevOps,Ensure reliability and scalability of distributed systems.,Bangalore,3-5 years,B.Tech,10-18 LPA,12.7,Full-time,4,6
43,AWS Solutions Architect,Accenture,"AWS, Cloud Architecture, Security, Networking",Cloud & DevOps,Design AWS cloud solutions for large enterprise migrations.,Hyderabad,8+ years,B.Tech,30-60 LPA,34.2,Full-time,8,7
44,Kubernetes Engineer,Palo Alto Networks,"Kubernetes, Docker, Helm, Istio, Go",Cloud & DevOps,Manage large-scale Kubernetes clusters for security products.,Bangalore,1-3 years,B.Sc.,5-10 LPA,7.2,Full-time,1,20
45,CI/CD Engineer,GlobalLogic,"Jenkins, GitHub Actions, Docker, Ansible, Linux",Cloud & DevOps,Build automation pipelines and streamline software delivery.,Noida,3-5 years,B.Tech,10-18 LPA,16.7,Full-time,3,13
46,Cybersecurity Analyst,Deloitte,"Network Security, SIEM, Python, Threat Analysis",Cybersecurity,Monitor security events and respond to threats for enterprise clients.,Mumbai,3-5 years,Certified,10-18 LPA,13.9,Full-time,3,12
47,Penetration Tester,KPMG,"Kali Linux, Metasploit, Python, Network Security",Cybersecurity,Conduct ethical hacking assessments for financial institutions.,Gurgaon,1-3 years,B.Sc.,5-10 LPA,9.9,Hybrid,5,13
48,SOC Analyst,IBM Security,"SIEM, Splunk, Incident Response, Network Security",Cybersecurity,Monitor and respond to security incidents in 24x7 SOC environment.,Pune,3-5 years,B.Sc.,10-18 LPA,11.2,Full-time,1,18
49,Application Security Engineer,PayU,"OWASP, Python, Burp Suite, Code Review",Cybersecurity,Embed security practices in development and conduct appsec reviews.,Gurgaon,3-5 years,B.Sc.,10-18 LPA,14.3,Full-time,1,18
50,Database Administrator,Yatra,"MySQL, Oracle, Backup, Performance Tuning, Linux",Database,Manage and optimize relational databases for travel portal.,Gurgaon,3-5 years,BCA,10-18 LPA,14.0,Full-time,9,2
51,MongoDB Developer,MakeMyTrip,"MongoDB, Python, Node.js, Redis, Aggregation",Database,Design MongoDB schemas and optimize queries for travel data.,Gurgaon,1-3 years,B.Tech,5-10 LPA,5.3,Full-time,7,3
52,SQL Developer,Muthoot Finance,"SQL Server, T-SQL, SSRS, ETL, Performance Tuning",Database,Develop SQL queries and reports for financial data warehouse.,Kochi,3-5 years,B.Tech,10-18 LPA,12.0,Remote,2,13
53,Data Warehouse Engineer,EY,"Redshift, SQL, Python, ETL, BI Tools",Database,Build and maintain cloud data warehouses for analytics.,Bangalore,3-5 years,MCA,10-18 LPA,14.7,Full-time,4,21
54,Product Manager,Urban Company,"Product Strategy, Agile, Data Analysis, SQL",Product Management,Define product roadmap for home services marketplace.,Gurgaon,8+ years,MBA,30-60 LPA,37.2,Full-time,5,14
55,Associate Product Manager,Dunzo,"User Research, Figma, SQL, Agile, Analytics",Product Management,Work on hyperlocal delivery product with strong data focus.,Bangalore,8+ years,B.Tech,30-60 LPA,57.9,Full-time,8,19
56,Technical Product Manager,Hasura,"APIs, GraphQL, SQL, Product Strategy, Agile",Product Management,Manage developer-focused open-source database product.,Bangalore,5-8 years,B.Tech,18-30 LPA,18.9,Remote,5,4
57,Product Analyst,Lenskart,"SQL, Python, A/B Testing, Product Analytics",Product Management,Analyze customer journeys and improve eyewear shopping product.,Gurgaon,3-5 years,B.Tech,10-18 LPA,17.0,Full-time,5,5
58,UX Designer,Razorpay,"Figma, User Research, Prototyping, Design Systems",Design,Design intuitive payment experiences for millions of users.,Bangalore,3-5 years,B.A.,10-18 LPA,16.7,Remote,9,0
59,UI/UX Designer,ShareChat,"Figma, Adobe XD, User Research, HTML, CSS",Design,Create social media features for India's largest vernacular platform.,Bangalore,3-5 years,B.A.,10-18 LPA,16.5,Full-time,3,8
60,Product Designer,Leadsquared,"Figma, Interaction Design, Usability Testing",Design,Design CRM product used by sales teams across industries.,Bangalore,1-3 years,B.Tech,5-10 LPA,9.4,Full-time,5,19
61,Graphic Designer,Wavemaker,"Illustrator, Photoshop, Figma, Branding",Design,Create visual assets for digital marketing campaigns.,Mumbai,1-3 years,B.Tech,5-10 LPA,8.6,Full-time,9,15
62,Motion Designer,Pocket FM,"After Effects, Figma, Animation, Premier Pro",Design,Create animations and motion graphics for audio platform.,Bangalore,3-5 years,B.Des,10-18 LPA,17.2,Full-time,7,26
63,Financial Analyst,Groww,"Excel, Python, Financial Modeling, SQL, Tableau",Finance,Analyze investment products and build financial dashboards.,Bangalore,3-5 years,CA,10-18 LPA,10.4,Full-time,5,5
64,Quantitative Analyst,Zerodha,"Python, Statistics, Algorithmic Trading, SQL",Finance,Build quantitative models for stock market analysis.,Bangalore,3-5 years,M.Sc.,10-18 LPA,14.4,Remote,1,3
65,Risk Analyst,ICICI Bank,"Excel, SQL, SAS, Risk Modeling, Statistics",Finance,Assess credit risk and build risk scorecards for lending.,Mumbai,1-3 years,MBA,5-10 LPA,9.7,Remote,1,26
66,Fintech Developer,Slice,"Python, Blockchain, APIs, Security, SQL",Finance,Build fintech payment products for millennial users.,Bangalore,3-5 years,MBA,10-18 LPA,14.7,Hybrid,3,1
67,Chartered Accountant,PwC,"Taxation, Accounting, Tally, Excel, Compliance",Finance,Provide audit and tax advisory services to corporate clients.,Delhi,3-5 years,B.Com,10-18 LPA,12.9,Full-time,4,21
68,Digital Marketing Manager,Nykaa,"SEO, SEM, Google Ads, Social Media, Analytics",Marketing,Drive digital customer acquisition for beauty e-commerce platform.,Mumbai,5-8 years,B.Tech,18-30 LPA,26.0,Remote,7,19
69,SEO Specialist,Healthkart,"SEO, Google Analytics, Content, Python, Ahrefs",Marketing,Improve organic search rankings for health supplement platform.,Gurgaon,3-5 years,B.A.,10-18 LPA,11.2,Full-time,3,28
70,Growth Hacker,Doubtnut,"Python, Analytics, A/B Testing, SQL, Marketing",Marketing,Drive user growth for EdTech platform through data-driven experiments.,Noida,3-5 years,B.Tech,10-18 LPA,10.2,Hybrid,4,8
71,Content Strategist,Razorpay,"Content Writing, SEO, Analytics, Marketing Strategy",Marketing,Create content that educates fintech audience and drives conversions.,Bangalore,1-3 years,MBA,5-10 LPA,8.9,Hybrid,1,27
72,Performance Marketing,MPL,"Facebook Ads, Google Ads, Analytics, SQL",Marketing,Manage paid campaigns for mobile gaming platform.,Bangalore,3-5 years,BBA,10-18 LPA,11.8,Full-time,5,26
73,HR Business Partner,Infosys BPM,"HR Policies, Talent Acquisition, Excel, HRMS",Human Resources,Partner with business units to drive people strategy.,Mysore,1-3 years,BBA,5-10 LPA,6.1,Hybrid,6,8
74,Technical Recruiter,Naukri,"Sourcing, LinkedIn, Excel, Communication, ATS",Human Resources,Hire top engineering talent for technology companies.,Noida,1-3 years,B.A.,5-10 LPA,9.8,Full-time,9,12
75,Operations Manager,Delhivery,"Supply Chain, Excel, SQL, Operations, Analytics",Operations,Manage logistics operations across multiple fulfillment centers.,Gurgaon,8+ years,MBA,30-60 LPA,58.2,Full-time,3,18
76,Business Analyst,Gartner,"Excel, SQL, Power BI, Business Analysis, Stakeholder Mgmt",Business Analysis,Analyze business requirements and recommend technology solutions.,Gurgaon,3-5 years,M.Tech,10-18 LPA,10.3,Hybrid,6,23
77,Junior Software Developer,Cognizant,"Python, Java, SQL, Git, OOP",Software Engineering,Entry-level software development role with training and mentorship.,Multiple Locations,0-1 years,BCA,3-5 LPA,4.6,Remote,9,3
78,Trainee Data Analyst,WNS Analytics,"Excel, SQL, Basic Python, Statistics",Data Science,Learn analytics tools and support senior analysts on client projects.,Mumbai,0-1 years,PhD,3-5 LPA,3.8,Full-time,5,1
79,Graduate Engineer Trainee,Bosch,"C, Embedded C, Electronics, MATLAB",Software Engineering,Rotational program across engineering teams with structured learning.,Bangalore,0-1 years,B.Tech,3-5 LPA,4.4,Remote,9,21
80,Junior Frontend Developer,Razorpay,"HTML, CSS, JavaScript, React Basics, Git",Web Development,Build UI components under guidance of senior frontend engineers.,Bangalore,0-1 years,BCA,3-5 LPA,4.4,Full-time,7,2
81,ML Intern,Samsung PRISM,"Python, Scikit-learn, Jupyter, Statistics",Data Science,Contribute to ML research projects as part of university program.,Noida,0-1 years,M.Sc.,3-5 LPA,4.9,Remote,6,21
82,Data Science Intern,Tiger Analytics,"Python, SQL, Machine Learning, Statistics",Data Science,Work on real-world analytics projects with Fortune 500 clients.,Chennai,0-1 years,M.Sc.,3-5 LPA,4.7,Remote,5,21
83,Software Testing Intern,Qspiders,"Manual Testing, Selenium, Java, SQL, JIRA",Software Testing,Learn software testing methodologies and automation tools.,Bangalore,0-1 years,BCA,3-5 LPA,3.8,Full-time,9,4
84,Android Intern,ShareChat,"Kotlin, Android, REST APIs, Git",Mobile Development,Build features for India's largest social media platform.,Bangalore,0-1 years,MCA,3-5 LPA,3.4,Hybrid,3,19
85,QA Engineer,Adobe,"Selenium, Java, TestNG, API Testing, SQL",Software Testing,Automate testing for creative cloud products.,Noida,3-5 years,B.Sc.,10-18 LPA,12.4,Full-time,5,9
86,SDET,Microsoft,"Python, Selenium, REST APIs, CI/CD, Azure",Software Testing,Build test automation frameworks for Microsoft products.,Hyderabad,1-3 years,B.Sc.,5-10 LPA,7.1,Remote,6,14
87,Manual Tester,Nagarro,"Test Cases, Jira, Agile, Regression, SQL",Software Testing,Perform functional and regression testing for enterprise apps.,Gurgaon,3-5 years,B.Tech,10-18 LPA,13.5,Remote,8,25
88,Embedded Engineer,Bosch,"C, RTOS, CAN, Linux, Embedded Linux",Embedded Systems,Develop embedded software for automotive control units.,Coimbatore,3-5 years,B.Tech,10-18 LPA,11.4,Full-time,9,21
89,IoT Developer,Siemens,"Python, MQTT, AWS IoT, C++, Linux",Embedded Systems,Build IoT solutions for industrial automation.,Pune,3-5 years,B.Tech,10-18 LPA,15.0,Full-time,5,7
90,Firmware Engineer,Honeywell,"C, Assembly, RTOS, Hardware Interfaces, Git",Embedded Systems,Develop firmware for HVAC and building automation devices.,Hyderabad,1-3 years,B.Tech,5-10 LPA,5.7,Full-time,8,19
91,Blockchain Developer,Polygon,"Solidity, Ethereum, Web3.js, Python, Smart Contracts",Blockchain,Build decentralized applications on Polygon blockchain.,Remote,1-3 years,Self-taught,5-10 LPA,7.3,Remote,4,22
92,Smart Contract Engineer,CoinDCX,"Solidity, Truffle, Hardhat, JavaScript, DeFi",Blockchain,Develop and audit smart contracts for crypto exchange.,Mumbai,3-5 years,M.Tech,10-18 LPA,13.1,Full-time,3,20
93,Technical Writer,Postman,"Technical Writing, Markdown, API Docs, Python",Technical Writing,Create developer documentation for API platform used globally.,Bangalore,3-5 years,B.Tech,10-18 LPA,10.0,Hybrid,4,5
94,Scrum Master,Thoughtworks,"Agile, Scrum, JIRA, Facilitation, Stakeholder Mgmt",Project Management,Facilitate agile ceremonies and remove impediments for dev teams.,Bangalore,3-5 years,B.Tech,10-18 LPA,14.1,Remote,4,29
95,Solutions Architect,AWS India,"AWS, Cloud, Architecture, Python, Networking",Cloud & DevOps,Help enterprise customers design scalable cloud architectures.,Gurgaon,5-8 years,M.Tech,18-30 LPA,23.5,Remote,9,19
96,Research Scientist,Microsoft Research,"Python, Deep Learning, Research, Statistics, PyTorch",Data Science,Conduct AI/ML research with global impact at world-class lab.,Bangalore,3-5 years,B.Tech,10-18 LPA,17.6,Remote,9,13
97,Platform Engineer,Razorpay,"Go, Kubernetes, PostgreSQL, gRPC, Distributed Systems",Software Engineering,Build core infrastructure powering India's leading fintech platform.,Bangalore,3-5 years,B.Tech,10-18 LPA,13.6,Hybrid,8,8
98,Security Researcher,Bug Crowd,"Python, Network Security, OSINT, Reverse Engineering",Cybersecurity,Find and report security vulnerabilities through bug bounty programs.,Remote,1-3 years,B.Sc.,5-10 LPA,9.2,Remote,8,20
99,Data Governance Analyst,Genpact,"SQL, Data Quality, Excel, Metadata, Policy",Data Science,Manage data governance frameworks for enterprise data assets.,Noida,1-3 years,B.Tech,5-10 LPA,6.4,Full-time,4,8
100,Robotics Engineer,Systemantics,"Python, ROS, C++, Computer Vision, Motion Planning",Embedded Systems,Develop robotics software for industrial automation arms.,Bangalore,3-5 years,Diploma,10-18 LPA,12.6,Full-time,3,4
101,Game Developer,Nazara Technologies,"Unity, C#, Game Design, 3D Modeling, JavaScript",Software Engineering,Build mobile games played by millions across India.,Mumbai,1-3 years,B.Tech,5-10 LPA,6.9,Full-time,2,13
